1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0.76,0.82,0.92,0.9,0.93,0.92,0.82,0.97,0.76,0.85,0.93,0.94,1.00,1,0.92,1,0.93,0.91,0.88,0.96,1,0.93,0.81,0.93,0.98,0.87,1,0.79,0.99,0.94,0.93,0.91,0.95,0.75,0.57,0.79,0.9,0.9,0.92,0.89,0.84,0.99,0.92,0.98,0.92,0.99,1,0.92,0.82,1,0.99,0.99,0.9,0.9,0.99,0.9,1,0.92,0.77,0.97,0.82,0.9,0.94,0.94,0.99,0.99,0.94,0.89,1,0.99,0.92,0.93,0.82,0.91,0.87,1,0.87,0.92,0.89,0.88,0.89,0.89,0.9,0.87,0.88,0.86,0.99,1,0.89,1,0.85,0.93,1,1,0.87,0.86
0.87,0.7,0.99,0.9,0.98,0.88,0.97,0.83,0.93,0.93,0.82,0.89,0.89,0.77,0.97,0.91,0.9,0.96,0.84,0.77,0.91,0.68,0.99,0.97,0.81,0.95,0.72,1.04,0.84,0.91,0.88,0.97,0.95,0.82,0.58,0.88,0.94,0.73,0.78,0.8,1,0.91,0.96,0.88,1,0.86,0.9,0.86,0.85,0.89,0.86,0.87,1.01,0.99,0.89,0.95,0.88,0.97,0.86,0.85,0.86,0.92,0.92,0.86,0.85,0.86,0.85,0.88,0.8,0.85,0.89,0.87,0.77,0.9,0.84,0.9,0.85,0.92,0.88,0.83,0.99,0.85,0.97,1.01,0.93,0.97,0.86,0.8,0.8,0.98,0.77,0.93,0.96,0.8,0.77,0.96
0.72,0.94,0.91,0.97,0.9,0.95,0.83,0.94,0.8,0.83,0.92,0.97,0.86,0.87,0.89,0.95,0.97,0.88,0.89,0.92,0.92,1,0.84,0.79,0.98,0.88,0.82,0.71,0.91,0.84,0.79,0.93,1.01,0.86,0.47,0.95,0.85,0.53,1.02,0.76,0.86,0.9,0.89,0.95,0.93,1.01,0.89,0.97,0.93,0.83,0.93,0.96,0.92,0.89,0.87,0.83,0.98,0.91,0.99,0.83,0.95,0.85,0.96,0.95,0.91,0.86,0.94,0.81,0.78,0.92,0.85,0.94,0.78,0.73,0.92,0.68,0.85,0.99,0.71,0.9,0.9,0.95,0.88,0.96,1.01,0.77,0.93,0.82,0.93,0.99,0.96,1.01,0.94,0.96,0.85,0.74
0.82,0.89,0.9,0.9,0.93,0.91,0.94,0.85,0.92,0.93,0.81,0.88,0.94,0.96,0.97,0.86,0.88,0.86,0.87,0.78,1,0.88,0.97,0.97,0.87,0.95,0.78,0.79,0.83,0.89,0.88,1.01,0.91,0.69,0.93,0.85,0.83,0.77,0.86,0.96,0.86,0.98,0.99,0.83,1,0.89,0.95,0.87,0.85,0.97,0.78,0.88,1,0.91,0.99,0.96,0.89,0.97,0.89,0.94,0.85,0.85,0.99,0.75,0.83,0.92,0.86,0.77,0.65,0.83,0.95,0.89,0.76,0.83,0.77,0.95,0.85,0.87,0.87,0.73,0.87,0.78,0.85,0.76,0.82,0.76,0.82,0.77,0.78,1.06,0.79,0.91,1,0.8,0.76,0.78
0.98,0.85,0.86,0.98,1.03,0.96,0.9,0.98,0.88,0.89,0.98,0.97,0.94,0.89,0.91,1,0.86,1,0.97,0.98,0.85,0.93,0.88,0.74,0.87,0.86,0.94,1.01,0.98,0.95,0.79,0.89,0.99,0.82,0.82,0.86,1.02,0.93,0.98,0.79,1.02,0.89,0.93,0.95,0.91,0.99,0.82,0.94,0.85,0.87,0.78,0.98,0.87,1,0.92,0.91,1.01,0.92,0.86,0.9,0.9,1.01,0.88,1.03,0.96,0.9,0.9,0.84,1.01,1.03,0.9,0.91,0.96,1.01,0.82,0.86,0.73,0.93,1,0.9,0.99,0.81,1.03,0.99,0.95,0.83,0.88,1.04,0.84,0.88,0.81,0.87,0.92,0.9,0.89,0.83
0.56,0.91,0.86,0.97,0.95,0.98,0.94,0.79,0.89,0.92,0.73,0.96,0.86,0.77,0.97,0.81,0.96,0.86,0.82,0.8,0.94,0.99,0.97,0.95,0.95,0.82,0.78,0.85,0.85,0.89,0.89,0.94,0.89,0.62,0.86,0.85,0.8,0.77,0.94,0.89,0.9,0.91,0.95,0.88,1.01,0.94,0.82,0.95,0.95,0.87,0.5,0.88,0.99,0.89,0.85,0.91,0.82,0.97,0.85,0.85,0.91,0.79,1,0.85,0.73,0.84,0.93,0.9,0.59,0.85,0.91,0.93,0.84,0.74,0.91,0.88,1,1,0.83,0.9,0.83,0.91,0.59,0.91,1.01,0.87,0.8,0.78,0.81,0.7,0.93,1.01,0.87,0.89,0.9,0.65
1.02,0.93,0.92,0.91,0.91,0.93,0.88,0.99,0.83,0.77,0.98,0.88,0.94,1.03,0.81,1.01,0.89,0.92,1,0.97,0.98,0.91,0.87,0.91,0.84,0.97,1.04,0.91,1.04,0.91,0.83,0.89,0.98,0.54,0.7,0.85,0.93,0.9,1,0.84,0.91,1.04,0.97,1.03,0.85,0.95,1.05,0.82,0.83,1,1.01,0.87,0.83,0.89,0.99,0.9,1.02,0.86,0.74,1,0.9,0.88,0.88,1.03,0.92,1,0.89,0.81,0.74,1.02,0.92,0.9,0.91,0.72,0.68,0.97,0.88,0.75,0.89,0.77,0.9,0.93,0.72,0.92,0.91,0.7,0.83,1,0.4,0.85,0.86,0.91,1.02,0.77,0.87,0.8
0.87,0.9,1.01,1.02,1.01,0.93,0.91,0.8,0.87,1.00,0.79,0.88,0.93,0.9,1.01,0.92,0.89,1.01,0.93,0.5,0.91,0.92,0.86,0.81,1,0.89,0.87,1.04,0.95,0.99,0.99,0.98,0.78,0.94,0.94,1,1.03,0.98,0.9,0.97,1.01,0.89,1.01,0.96,0.96,0.9,0.94,0.91,0.87,0.87,0.69,0.84,0.95,0.78,0.76,0.79,0.93,1.03,0.96,0.83,0.91,0.97,1.01,0.9,0.79,0.79,0.67,0.91,0.99,0.92,1.04,0.84,0.9,0.85,0.66,0.86,0.89,0.77,0.98,0.89,1.03,0.94,0.88,1.01,0.76,0.86,0.72,0.92,0.96,0.84,0.88,0.92,0.94,0.82,0.84,0.72
0.9,0.97,0.91,0.84,0.89,0.99,0.86,0.91,0.81,0.83,0.99,1.01,0.96,0.86,0.9,0.97,1,0.92,0.92,0.95,0.91,1.04,1,0.66,0.88,1,0.88,0.84,1.02,0.9,0.89,0.85,0.96,0.8,0.88,0.57,0.93,0.82,0.99,0.85,0.88,0.88,0.94,1.01,0.91,0.99,0.92,1.04,0.97,0.86,0.94,0.97,0.89,0.86,1,1,0.91,0.91,0.92,0.81,1.01,0.89,0.92,1,0.98,0.88,0.96,0.96,0.86,0.99,0.92,0.97,0.98,0.72,1,0.85,0.98,1,0.84,0.97,0.9,1.01,0.88,0.89,1,0.8,0.96,0.94,0.88,0.98,1,1.02,0.93,1,0.99,0.86
0.99,0.9,0.92,0.87,0.95,0.93,0.94,0.94,0.95,0.98,0.8,0.94,1.02,0.98,0.98,0.93,0.91,0.9,0.97,0.67,1,0.94,0.72,0.99,0.84,0.84,0.03,0.87,0.91,0.97,0.92,0.94,0.67,0.75,1,1.04,0.95,0.98,0.85,0.99,0.9,0.96,0.99,0.93,1.01,0.94,1.04,0.94,0.81,1.05,0.83,0.92,0.99,0.92,1,0.85,1.03,0.94,0.9,1.01,0.83,0.83,1.02,0.89,0.67,0.98,0.84,0.97,0.75,0.82,0.91,0.91,1.13,1,0.8,0.99,0.93,0.81,0.89,0.89,0.94,0.9,1.01,0.94,0.92,1.01,0.9,0.86,0.86,0.99,0.81,0.91,1.01,0.87,0.94,0.86
0.83,0.91,1.01,1.03,1.01,0.92,0.88,0.98,0.81,0.85,0.95,0.95,0.96,0.9,0.93,0.99,0.89,1.03,0.99,0.93,0.96,0.95,0.9,0.97,0.98,0.74,0.64,1.01,0.98,0.93,1.03,0.84,0.96,0.98,0.86,0.87,1.08,0.91,1.07,0.89,0.97,0.9,1,0.94,0.95,1.01,0.87,0.9,0.86,0.88,0.97,0.98,0.9,1.01,0.82,0.84,0.86,1.02,0.99,0.86,0.74,0.97,0.89,0.99,0.98,0.87,0.89,0.84,0.85,0.96,0.86,1.09,0.82,0.91,0.99,0.91,0.83,0.89,1.01,0.89,0.99,0.95,0.95,0.98,0.94,0.89,1,1.07,1.01,0.89,0.87,0.93,0.88,0.89,0.82,0.83
